品名,日付,販売方法,卸売数量合計,豊洲,大田,豊島,淀橋,板橋,世田谷,北足立,多摩NT,葛西
だいこん,2021/2/1,せり・入札,995,－,395,100,－,200,－,200,－,100
だいこん,2021/2/1,相対,511532,43338,229549,19700,54420,40100,11155,60800,14870,37600
だいこん,2021/2/1,第三者販売,1165,500,390,200,－,－,－,－,75,－
だいこん,2021/2/1,商物分離,36175,－,36175,－,－,－,－,－,－,－
かぶ,2021/2/1,せり・入札,135,－,135,－,－,－,－,－,－,－
かぶ,2021/2/1,相対,49400,－,32257,1500,4987,3300,1356,3000,1200,1800
かぶ,2021/2/1,第三者販売,80,－,80,－,－,－,－,－,－,－
かぶ,2021/2/1,商物分離,3030,－,3030,－,－,－,－,－,－,－
にんじん,2021/2/1,せり・入札,3920,640,3180,－,－,－,－,－,－,100
にんじん,2021/2/1,相対,263054,37145,111414,23000,37420,18100,8215,12000,1460,14300
にんじん,2021/2/1,第三者販売,7320,100,6360,－,－,－,－,－,860,－
にんじん,2021/2/1,商物分離,4236,－,4236,－,－,－,－,－,－,－
ごぼう,2021/2/1,せり・入札,12,－,12,－,－,－,－,－,－,－
ごぼう,2021/2/1,相対,22364,2799,11145,500,1834,1900,707,1700,179,1600
ごぼう,2021/2/1,第三者販売,1216,－,1212,－,－,－,－,－,4,－
ごぼう,2021/2/1,商物分離,2638,－,2638,－,－,－,－,－,－,－
キャベツ,2021/2/1,せり・入札,5380,380,4550,100,－,150,－,100,－,100
キャベツ,2021/2/1,相対,705107,88375,311745,34900,125555,37150,16250,49900,8332,32900
キャベツ,2021/2/1,第三者販売,12750,3180,9440,－,－,－,－,－,130,－
キャベツ,2021/2/1,商物分離,117134,－,117134,－,－,－,－,－,－,－
レタス,2021/2/1,せり・入札,590,－,140,100,－,150,－,100,－,100
レタス,2021/2/1,相対,267644,29919,150011,15800,20047,12550,3307,12000,4910,19100
レタス,2021/2/1,第三者販売,6170,850,5210,100,－,－,－,－,10,－
レタス,2021/2/1,商物分離,12345,－,12345,－,－,－,－,－,－,－
はくさい,2021/2/1,せり・入札,5600,－,4855,150,－,195,－,300,－,100
はくさい,2021/2/1,相対,771497,59039,393495,79850,63800,26005,16491,57200,21317,54300
はくさい,2021/2/1,第三者販売,6935,6170,600,－,－,－,－,－,165,－
はくさい,2021/2/1,商物分離,113550,－,113550,－,－,－,－,－,－,－
こまつな,2021/2/1,せり・入札,4642,－,2016,200,246,100,80,－,－,2000
こまつな,2021/2/1,相対,50011,8309,23636,2800,4670,4900,703,3700,993,300
こまつな,2021/2/1,第三者販売,335,25,300,－,－,－,－,－,10,－
こまつな,2021/2/1,商物分離,3002,－,3002,－,－,－,－,－,－,－
ほうれんそう,2021/2/1,せり・入札,5741,1531,3477,－,531,80,22,100,－,－
ほうれんそう,2021/2/1,相対,92681,15278,40590,7000,10090,3420,852,10400,1251,3800
ほうれんそう,2021/2/1,第三者販売,1715,909,545,－,－,－,－,－,261,－
ほうれんそう,2021/2/1,商物分離,3732,－,3732,－,－,－,－,－,－,－
ねぎ,2021/2/1,せり・入札,2330,233,489,50,983,75,－,400,－,100
ねぎ,2021/2/1,相対,193094,29220,84029,11700,18668,17325,2482,17600,3370,8700
ねぎ,2021/2/1,第三者販売,2015,1607,103,250,－,－,－,－,55,－
ねぎ,2021/2/1,商物分離,3025,－,3025,－,－,－,－,－,－,－
みずな,2021/2/1,相対,20467,2944,10316,1000,1220,1700,237,1300,650,1100
みずな,2021/2/1,第三者販売,204,15,189,－,－,－,－,－,－,－
みずな,2021/2/1,商物分離,943,－,943,－,－,－,－,－,－,－
セルリー,2021/2/1,せり・入札,15,－,15,－,－,－,－,－,－,－
セルリー,2021/2/1,相対,33895,4637,16086,2000,3522,1500,460,4200,690,800
セルリー,2021/2/1,第三者販売,360,350,－,－,－,－,－,－,10,－
セルリー,2021/2/1,商物分離,1000,－,1000,－,－,－,－,－,－,－
ブロッコリー,2021/2/1,せり・入札,414,－,354,－,－,－,60,－,－,－
ブロッコリー,2021/2/1,相対,178922,31211,97559,3000,18013,4200,1564,7000,5175,11200
ブロッコリー,2021/2/1,第三者販売,3784,3210,574,－,－,－,－,－,－,－
ブロッコリー,2021/2/1,商物分離,30906,－,30906,－,－,－,－,－,－,－
きゅうり,2021/2/1,せり・入札,405,－,80,50,－,75,－,100,－,100
きゅうり,2021/2/1,相対,243894,30911,116317,11950,22864,16025,17567,11900,5760,10600
きゅうり,2021/2/1,第三者販売,1819,1580,164,－,－,－,－,－,75,－
きゅうり,2021/2/1,商物分離,4850,－,4850,－,－,－,－,－,－,－
なす,2021/2/1,せり・入札,268,－,61,50,－,57,－,100,－,－
なす,2021/2/1,相対,106542,17305,53762,4950,11807,7643,1839,3900,1536,3800
なす,2021/2/1,第三者販売,311,152,147,－,－,－,－,－,12,－
なす,2021/2/1,商物分離,1547,－,1547,－,－,－,－,－,－,－
トマト,2021/2/1,せり・入札,704,164,208,32,－,100,－,100,－,100
トマト,2021/2/1,相対,326926,41780,167277,9968,37714,18600,10873,23900,4714,12100
トマト,2021/2/1,第三者販売,18843,18791,48,－,－,－,－,－,4,－
トマト,2021/2/1,商物分離,14971,－,14971,－,－,－,－,－,－,－
ミニトマト,2021/2/1,せり・入札,24,－,24,－,－,－,－,－,－,－
ミニトマト,2021/2/1,相対,90858,8978,54774,700,10600,4800,2327,4400,179,4100
ミニトマト,2021/2/1,第三者販売,3848,3770,64,－,－,－,－,－,14,－
ミニトマト,2021/2/1,商物分離,9924,－,9924,－,－,－,－,－,－,－
ピーマン,2021/2/1,せり・入札,790,－,40,－,610,40,－,100,－,－
ピーマン,2021/2/1,相対,78868,7245,43100,4999,11592,3860,2640,1700,832,2900
ピーマン,2021/2/1,第三者販売,41,－,40,1,－,－,－,－,－,－
ピーマン,2021/2/1,商物分離,2640,－,2640,－,－,－,－,－,－,－
じゃがいも,2021/2/1,せり・入札,300,－,300,－,－,－,－,－,－,－
じゃがいも,2021/2/1,相対,485115,19210,268045,25000,74100,25000,19120,15000,3240,36400
じゃがいも,2021/2/1,第三者販売,1500,1000,450,－,－,－,－,－,50,－
さつまいも,2021/2/1,せり・入札,245,－,245,－,－,－,－,－,－,－
さつまいも,2021/2/1,相対,148631,12153,89308,7000,12850,7500,2925,7500,2895,6500
さつまいも,2021/2/1,第三者販売,1010,565,350,－,－,－,－,－,95,－
さつまいも,2021/2/1,商物分離,9315,－,9315,－,－,－,－,－,－,－
さといも,2021/2/1,せり・入札,78,78,－,－,－,－,－,－,－,－
さといも,2021/2/1,相対,28415,2832,16418,1000,2935,1100,530,1100,－,2500
さといも,2021/2/1,第三者販売,160,160,－,－,－,－,－,－,－,－
さといも,2021/2/1,商物分離,1477,－,1477,－,－,－,－,－,－,－
たまねぎ,2021/2/1,せり・入札,760,－,760,－,－,－,－,－,－,－
たまねぎ,2021/2/1,相対,379561,47031,121151,35000,29836,36100,27023,16000,8220,59200
